unique_id;date;duration;kind;day_night;national;region;type;event_name;event_link;club;map;location;coord_x;coord_y;deadline;entryportal;last_modification
11930;03.09.2023;1;foot;day;0;TI;145;9. TMO CTCO GOV Cimalmotto;http://www.asti-ticino.ch/co/;GOV Vallemaggia;Cimalmotto;;;;27.08.2023;5;08.12.2022 17:14
11466;09.09.2023;1;foot;day;1;BE/SO;MOM;Mitteldistanz OL Schweizermeisterschaft;https://mom2023.ch/;OLG Hondrich;Ballenberg;;649050;177575;28.08.2023;1;08.01.2023 13:22
11467;10.09.2023;1;foot;day;1;BE/SO;**A;6. Nationaler OL Langdistanz;;OLG Thun;Honegg;;619625;182850;;1;07.01.2023 02:04
11468;16.09.2023;1;foot;day;1;SR;**A;7. Nationaler OL Mitteldistanz;;CO Lausanne Jorat;Grand Risoux;;;;;0;27.12.2022 18:13
11476;17.09.2023;1;foot;day;1;SR;LOM;Langdistanz OL Schweizermeisterschaft;;CO Lausanne Jorat;Grand Risoux;;;;;0;02.11.2021 20:07
11877;22.09.2023;1;foot;night;0;BE/SO;*41;Biberister Nacht-OL;https://olgbiberistso.ch/;OLG Biberist;Altisberg;Biberist;;;;0;08.12.2022 16:35
11831;23.09.2023;1;foot;day;0;NOS;*42;11. thurgorienta OL;;thurgorienta;Hörnliwald;;;;;0;08.12.2022 16:35
11901;23.09.2023;1;foot;day;0;SR;402S;33. Harzer-Staffel;https://www.omstrom.ch;OLC Omström Sense;Buechechäppeli;;;;;0;08.12.2022 16:54
11814;24.09.2023;1;foot;day;0;NWS;*43;Oristaler OL;;OLG Kakowa;Sichteren;;;;;5;08.12.2022 16:35
11890;24.09.2023;1;foot;day;0;ZH/SH;403T;82. Zürcher OL;;OLG Säuliamt;Feldenmas;Bonstetten;;;;0;08.12.2022 16:58
11931;24.09.2023;1;foot;day;0;TI;146;10. TMO GOLD Dötra;http://www.asti-ticino.ch/co/;GOLD Savosa;Dötra;;;;17.09.2023;5;08.12.2022 17:14
11904;24.09.2023;1;foot;day;0;BE/SO;*44;51. Urseller OL;https://www.olnorska.ch/;ol norska;Hubewald;Wichtrach;;;;0;08.12.2022 16:36
11902;24.09.2023;1;foot;day;0;ZS;147;77. Zuger OL;;OLV Zug;Chilchberg;Risch;;;;0;08.12.2022 17:15
11477;30.09.2023;1;foot;day;1;SR;**A;8. Nationaler OL Mitteldistanz;;CARE Vevey;Col du Pillon – Lac Retaud;;;;;0;12.07.2022 19:17
11478;01.10.2023;1;foot;day;1;SR;**A;9. Nationaler OL Langdistanz;;CARE Vevey;Col du Pillon – Isenau;;;;;0;12.07.2022 19:18
12036;04.10.2023;1;foot;day;0;SR;;Freiburger sCOOL-Cup;;FOLV;Seebezirk;Seebezirk;;;;0;14.11.2022 21:36
11815;08.10.2023;1;foot;day;0;NWS;*45;34. Laufentaler OL;;OLG Laufental-Thierstein;Challhöchi;;;;;5;08.12.2022 16:36
12034;13.10.2023;1;foot;night;0;BE/SO;*46;Oltner Nacht OL;https://www.olregioolten.ch/;OL Regio Olten;Hügert-Brändistäli;Hägendorf, Schützenhaus Gnöd;;;;0;08.01.2023 00:15
11846;15.10.2023;1;foot;day;0;ZS;*47;46. Innerschwyzer OL;https://www.olggoldau.ch;OLG Goldau;Rigi;;;;;0;08.12.2022 16:36
11881;21.10.2023;1;foot;night;0;BE/SO;*48;Oberaargauer Nacht OL;https://www.olv-langenthal.ch/;OLV Langenthal;Rappenkopf;SH Obersteckholz;;;;0;08.12.2022 16:37
12048;21.10.2023;1;foot;day;0;ZS;149;ZJOM Schlusslauf;https://www.olv-luzern.ch;OLV Luzern;Sädelwald-Hunsrüggen;;;;;0;08.12.2022 17:15
11727;21.10.2023;1;foot;day;0;AG;*49;Zurzacher OL;;Cordoba OLC;Bruggerberg;;;;;0;27.12.2022 17:30
11933;21.10.2023;1;foot;day;0;TI;150;11. TMO CT Sprint ASCO Carona;http://www.asti-ticino.ch/co/;ASCO Lugano;Carona;;;;15.10.2023;5;07.01.2023 12:31
11751;22.10.2023;1;foot;day;0;NWS;404T;71. Baselbieter Team-OL;;Sportamt Baselland;Blomd;;;;;5;08.12.2022 16:59
11824;22.10.2023;1;foot;day;0;ZH/SH;*50;45. Pfäffiker OL;;OLG Pfäffikon;Oberustermerwald;;;;;0;08.12.2022 16:39
